id;customs_broker_name;customs_contact_name;customs_currency;customs_phone_number;customs_value;from_airport_code;job_content_descr;ship_quantity;job_original_cost;quoted_amount;assign_to;date_created;job_number;job_customer;job_deadline_time;job_time_zone;shipping_date;job_deadline_date;shipping_time;is_storage;is_pick_pack;ship_total_weight;wo_request_type
1;mobile Fish;Home Loan Account Table Computer;Trace;Savings Account alarm;2058;Producer;Implementation Electronics Officer;61748;30424;Albania web-readiness;Namibia;2019-05-21T05:27:51;Gorgeous Frozen Pants;Common;78517;61838;2019-05-21T10:16:06;2019-05-21T05:52:54;51423;true;true;Refined Rubber Chicken Table;6505
2;Factors;South Dakota envisioneer Music;Nakfa;Bahamian Dollar Investment Account;83319;Salad;Digitized invoice;31171;42515;sky blue Georgia;Facilitator;2019-05-20T20:27:27;Markets Chief;capacitor archive;57044;19598;2019-05-21T02:33:39;2019-05-21T13:58:31;96117;false;true;compress South Georgia and the South Sandwich Islands;58675
3;Specialist Home Loan Account;Plastic;Car Industrial deliverables;orange Books;81546;monitor;1080p Checking Account Identity;65107;11586;IB Investment Account archive;envisioneer;2019-05-20T23:00:31;payment;withdrawal COM;47221;38292;2019-05-21T12:11:25;2019-05-20T15:44:23;71324;true;true;Idaho compress Avon;52273
4;partnerships Grocery Intelligent;Dynamic;knowledge base Buckinghamshire;Concrete Investment Account Saint Lucia;20306;Brand;neutral Salad;92969;62435;modular Refined Squares;maroon;2019-05-20T17:38:22;Ghana back-end National;Direct;27213;22793;2019-05-20T23:30:58;2019-05-21T04:48:36;52;true;false;ability Hat Iraq;48482
5;Bahamian Dollar;24/7;Gloves sky blue Oklahoma;robust Engineer;96244;Quality-focused;card Plastic;99774;3688;Personal Loan Account;paradigms Home;2019-05-21T06:46:44;deposit Canadian Dollar Lebanon;Designer Persistent;67213;8085;2019-05-20T20:46:55;2019-05-21T06:11:20;23763;false;true;web-enabled invoice withdrawal;53577
6;Licensed hacking installation;Argentine Peso;Kentucky Algerian Dinar Clothing;open-source turn-key;9617;Quality;synthesize Creative;13752;67569;bandwidth azure;SMS Enhanced;2019-05-20T23:13:16;parsing;Borders content-based;99625;9310;2019-05-20T15:53:27;2019-05-20T17:31:40;55829;true;true;pink even-keeled;70035
7;programming SCSI drive;invoice Unbranded Cheese;New Zealand Dollar Alabama transform;invoice Home Gloves;54873;Cayman Islands Dollar invoice;Fish;1807;23724;circuit navigate;program alarm;2019-05-21T07:40:02;Benin Berkshire;dedicated Persevering;97301;97889;2019-05-21T05:37:35;2019-05-21T03:22:44;89204;true;true;cross-platform Borders;57690
8;Cambridgeshire white sensor;Alaska;deposit Chips Applications;uniform PCI back up;95307;hardware Venezuela Wisconsin;SDD disintermediate reinvent;85113;26847;Bedfordshire;Maryland Configuration;2019-05-20T22:21:22;Arkansas Intelligent Credit Card Account;intuitive Open-architected system-worthy;32255;74076;2019-05-20T18:41:34;2019-05-20T22:19:57;13662;true;true;France protocol;41978
9;Synergistic Personal Loan Account Sleek;Borders;olive Handcrafted Cotton Bacon Unbranded Fresh Pants;incubate;9398;North Dakota Garden;Towels Specialist;83893;59083;Computers Small Fresh Gloves back-end;interface;2019-05-20T19:11:31;composite Orchestrator Club;Intelligent Granite Shirt Peru deposit;72609;13274;2019-05-20T15:38:25;2019-05-20T15:47:31;51630;true;false;redundant;27083
10;mindshare Gorgeous;Chips;navigating;Som Rustic Frozen Keyboard ROI;23978;Handmade Tuna;motivating Operations alarm;55435;43567;system Gorgeous Rubber Pants;hack;2019-05-21T14:42:55;Wooden Ergonomic Steel Gloves;Developer Shoes Music;76336;49161;2019-05-20T19:41:42;2019-05-21T03:41:51;34630;false;false;withdrawal Generic Frozen Tuna;88668
